scheme,scheme_label,artifact_type,severity_label,severity_value,sample_index,score,deployment_threshold,research_threshold
image_statistics,Image statistics,text_watermark,opacity_0_75,0.75,3,0.7728755474090576,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_75,0.75,4,0.5429126024246216,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_75,0.75,5,0.8287734985351562,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_75,0.75,6,0.9425460696220398,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_75,0.75,7,0.6955861449241638,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_75,0.75,8,1.1241304874420166,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_75,0.75,9,0.577126145362854,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_75,0.75,10,0.9359788298606873,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_75,0.75,11,1.9293031692504883,1.7220234692096696,0.6057427525520325
mahalanobis_feature,Mahalanobis feature,gaussian_noise,sigma_5,5.0,0,26.78740119934082,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,gaussian_noise,sigma_5,5.0,1,27.797147750854492,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,gaussian_noise,sigma_5,5.0,2,23.308603286743164,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,gaussian_noise,sigma_5,5.0,3,27.591243743896484,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,gaussian_noise,sigma_5,5.0,4,33.02275848388672,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,gaussian_noise,sigma_5,5.0,5,31.04978370666504,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,gaussian_noise,sigma_5,5.0,6,27.922807693481445,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,gaussian_noise,sigma_5,5.0,7,29.533702850341797,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,gaussian_noise,sigma_5,5.0,8,35.74378967285156,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,gaussian_noise,sigma_5,5.0,9,27.642101287841797,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,gaussian_noise,sigma_5,5.0,10,25.896509170532227,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,gaussian_noise,sigma_5,5.0,11,24.50433349609375,38.58238201141357,32.05723571777344
patchcore_l3,PatchCore L3,gaussian_noise,sigma_5,5.0,0,25.004100799560547,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,gaussian_noise,sigma_5,5.0,1,28.07956314086914,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,gaussian_noise,sigma_5,5.0,2,26.540302276611328,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,gaussian_noise,sigma_5,5.0,3,33.57048034667969,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,gaussian_noise,sigma_5,5.0,4,26.986003875732422,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,gaussian_noise,sigma_5,5.0,5,30.101404190063477,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,gaussian_noise,sigma_5,5.0,6,24.170177459716797,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,gaussian_noise,sigma_5,5.0,7,24.71332550048828,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,gaussian_noise,sigma_5,5.0,8,28.058725357055664,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,gaussian_noise,sigma_5,5.0,9,32.31435012817383,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,gaussian_noise,sigma_5,5.0,10,32.846412658691406,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,gaussian_noise,sigma_5,5.0,11,21.929763793945312,34.763293457031246,26.80457305908203
autoencoder,Autoencoder,gaussian_noise,sigma_5,5.0,0,0.0002196426794398576,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,gaussian_noise,sigma_5,5.0,1,0.0014013622421771288,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,gaussian_noise,sigma_5,5.0,2,0.001466834917664528,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,gaussian_noise,sigma_5,5.0,3,0.0010387564543634653,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,gaussian_noise,sigma_5,5.0,4,0.0007121208473108709,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,gaussian_noise,sigma_5,5.0,5,0.0006527960649691522,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,gaussian_noise,sigma_5,5.0,6,0.0008025847491808236,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,gaussian_noise,sigma_5,5.0,7,0.0004924989189021289,0.0017387918487656,0.0001624995929887
